x,y
2.98048533802109,3.191036
2.98048533802109,3.216934
3.14159265358979,-2.382957
3.14159265358979,-2.352232
3.14159265358979,-2.314846
3.14159265358979,-2.252955
3.14159265358979,-2.237955
3.14159265358979,-2.22261
3.14159265358979,-2.206283
3.14159265358979,-2.160499
3.14159265358979,-2.129203
3.14159265358979,-2.070639
3.14159265358979,-1.992046
3.14159265358979,-1.949984
3.14159265358979,-1.946502
3.14159265358979,-1.918539
3.14159265358979,-1.910924
3.14159265358979,-1.899437
3.14159265358979,-1.883123
3.14159265358979,-1.870858
3.14159265358979,-1.848134
3.14159265358979,-1.829271
3.14159265358979,-1.801721
3.14159265358979,-1.778309
3.14159265358979,-1.746272
3.14159265358979,-1.742424
3.14159265358979,-1.703394
3.14159265358979,-1.650391
3.14159265358979,-1.608176
3.14159265358979,-1.607364
3.14159265358979,-1.594263
3.14159265358979,-1.583019
3.14159265358979,-1.565428
3.14159265358979,-1.551452
3.14159265358979,-1.538836
3.14159265358979,-1.525939
3.14159265358979,-1.509963
3.14159265358979,-1.500693
3.14159265358979,-1.483976
3.14159265358979,-1.458839
3.14159265358979,-1.454241
3.14159265358979,-1.441
3.14159265358979,-1.422432
3.14159265358979,-1.408071
3.14159265358979,-1.394703
3.14159265358979,-1.384487
3.14159265358979,-1.320392
3.14159265358979,-1.317348
3.14159265358979,-1.316446
3.14159265358979,-1.30839
3.14159265358979,-1.307472
3.14159265358979,-1.306611
3.14159265358979,-1.275746
3.14159265358979,-1.260427
3.14159265358979,-1.244011
3.14159265358979,-1.238029
3.14159265358979,-1.233337
3.14159265358979,-1.223151
3.14159265358979,-1.218445
3.14159265358979,-1.209543
3.14159265358979,-1.203522
3.14159265358979,-1.194651
3.14159265358979,-1.182164
3.14159265358979,-1.179585
3.14159265358979,-1.177367
3.14159265358979,-1.164859
3.14159265358979,-1.156721
3.14159265358979,-1.147147
3.14159265358979,-1.146673
3.14159265358979,-1.140237
3.14159265358979,-1.137941
3.14159265358979,-1.12589
3.14159265358979,-1.124245
3.14159265358979,-1.1221
3.14159265358979,-1.114543
3.14159265358979,-1.088728
3.14159265358979,-1.082718
3.14159265358979,-1.054683
3.14159265358979,-1.051659
3.14159265358979,-1.022935
3.14159265358979,-0.9820759
3.14159265358979,-0.9352402
3.14159265358979,-0.8834458
3.14159265358979,-0.83175
3.14159265358979,2.212301
3.14159265358979,2.230011
3.14159265358979,2.241842
3.14159265358979,2.2678
3.14159265358979,2.634423
3.14159265358979,2.66218
3.14159265358979,2.664686
3.14159265358979,2.69701
3.14159265358979,2.79231
3.14159265358979,2.831515
3.14159265358979,2.839251
3.14159265358979,2.885403
3.14159265358979,3.027535
3.14159265358979,3.033197
3.14159265358979,3.056119
3.14159265358979,3.096147
3.14159265358979,3.172083
3.14159265358979,3.189169
